Identifiant,Titre,Prix nuitee,Commune,Departement,Type de propriete,Id. type de logement,Type de logement,Capacite d'accueil,Nombre de salles de bain,Nombre de chambres,Nombre de lits,Type de lit,Cuisine,Internet,Television,Produits de base,Shampooing,Chauffage,Climatisation,Machine a laver,Seche-linge,Parking gratuit sur place,Internet sans fil,Television par cable,Petit dejeuner,Animaux acceptes,Pour familles/enfants,Adapte aux evenements,Logement fumeur,Acces handicapes,Ascenseur,Cheminee d'interieur,Interphone,Portier,Piscine,Jacuzzi,Salle de sport,Entree dans les lieux 24h/24,Cintres,Fer a repasser,Seche-cheveux,Espace de travail pour ordinateur,Detecteur de fumee,Detecteur de monoxyde,Kit de premiers secours,Fiche securite,Extincteur,Cafetiere,Cles remises par l'hote,Couloir large,Cuisiniere,Depot des bagages autorise,Draps,Eau chaude,Entree large,Entree privee,Equipements de baes,Four,Lave-vaisselle,Lit-parapluie,Livres et jouets pour enfants,Oreillers et couvertures supplementaires,Refrigerateur,Sejour longue duree autorise,Ustensiles de cuisine de base,Duree minimale du sejour,Animal sur place,Conditions d'annulation,Disponible,id,prefixe,code,created,updated
"13668271",Charmant Chalet dans un jardin provencal,23,AIX EN PROVENCE,13,Chalet,3,Logement entier,2,1,1,0,Vrai lit,X,,X,X,,X,,X,,X,X,,,,,,,,,,,,X,,,,X,,,X,X,,,,,,,,,,,,,,,,,,,,,,,6,,,"0",13001000MK,"000",MK,2000/02/09,2014/02/12
"13673534",petit prix studio au centre historique,45,AIX EN PROVENCE,13,Appartement,3,Logement entier,3,1,0,0,,X,,,,,X,,,,,X,,,,X,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"0",13001000AB,"000",AB,1999/11/30,2018/12/06
"13693969",L'Italie - bel appartement climatise,70,AIX EN PROVENCE,13,Appartement,3,Logement entier,4,1,1,0,,X,X,X,X,,X,X,X,,,X,,X,,X,,,,,X,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,3,,,"0",13001000AH,"000",AH,1999/12/01,2018/12/06
"13706830",Appartement avec terrasse centre ville,61,AIX EN PROVENCE,13,Appartement,3,Logement entier,4,1,1,0,Vrai lit,X,,X,X,,,,X,,,X,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,"0",13001000AB,"000",AB,1999/11/30,2018/12/06
"13708294",Joli studio lumineux au coeur de la vieille ville,39,AIX EN PROVENCE,13,Appartement,3,Logement entier,2,1,0,0,,X,,X,X,,X,,X,,,X,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,5,,,"0",13001000AS,"000",AS,1999/12/02,2018/12/06
"13712402",Charmant studio avec balcon,50,AIX EN PROVENCE,13,Appartement,3,Logement entier,2,1,0,0,,X,X,X,,,X,,X,,X,X,X,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,2,,,"0",13001000CM,"000",CM,1999/12/14,2018/12/06
"13717526",Studio 12min a pied du centre ville,35,AIX EN PROVENCE,13,Appartement,3,Logement entier,2,1,1,0,,X,X,X,X,,X,,,,X,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,"0",13001000BI,"000",BI,1999/12/06,2018/12/06
"13721368",T2 plein centre  d'Aix-en-Provence,75,AIX EN PROVENCE,13,Appartement,3,Logement entier,4,1,1,0,,X,X,X,X,,,,X,,,X,,X,,,,,,,,,,,,,X,X,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,2,,,"0",13001000AM,"000",AM,1999/12/01,2018/12/06
"13723108",Chambre spacieuse et moderne dans appartement T3,35,AIX EN PROVENCE,13,Appartement en residence,2,Chambre privee,2,1,1,0,Vrai lit,X,,X,X,,X,,X,,X,X,,X,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"0",,,,,
"13723528",Joli studio Aix centre 28m2,60,AIX EN PROVENCE,13,Appartement,3,Logement entier,3,1,0,0,,X,,X,X,,X,,X,,,X,,,,,,,,,,,,,,,,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,3,,,"0",13001000AP,"000",AP,1999/12/02,2018/12/06
